,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
62,20241216,000166.SZ,申万宏源,证券,新疆,26.24,225.36,250.4,6721.71,0.0,11.25,192.72,0.77,0.15,4.12,1.31,20150126,344.23,1.37,7.21,-11.44,31.09,26.99,242069
63,20241216,000301.SZ,东方盛虹,化纤,江苏,0.0,54.97,66.11,2080.27,441.61,1248.37,177.42,2.68,-0.21,4.9,1.87,20000529,43.42,0.66,4.46,-155.96,8.58,-1.33,97567
64,20241216,000333.SZ,美的集团,家用电器,广东,13.1,68.79,75.61,5671.5,3619.93,326.5,495.34,6.55,4.58,27.31,2.68,20130918,1468.45,19.42,9.57,14.37,26.76,10.08,271449
65,20241216,000338.SZ,潍柴动力,汽车配件,山东,10.26,49.69,87.27,3438.1,1860.32,465.56,111.7,1.28,0.97,9.9,1.33,20070430,610.31,6.99,0.98,29.23,21.86,6.39,254416
66,20241216,000400.SZ,许继电气,电气设备,河南,23.21,10.08,10.19,235.78,191.53,17.1,6.31,0.62,0.88,11.13,2.44,19970418,92.14,9.04,-11.49,10.41,21.94,10.67,70900
67,20241216,000401.SZ,冀东水泥,水泥,河北,0.0,15.47,26.58,604.37,158.27,310.48,170.73,6.42,-0.11,10.56,0.54,19960614,75.03,2.82,-16.95,3.84,18.13,-2.21,85556
68,20241216,000402.SZ,金 融 街,全国地产,北京,0.0,29.88,29.89,1334.4,826.84,23.61,69.68,2.33,-0.87,11.16,0.34,19960626,211.52,7.08,42.51,-95.37,5.72,-23.52,86909
69,20241216,000403.SZ,派林生物,生物制药,山西,21.29,6.85,7.31,90.53,35.42,13.74,47.96,6.56,0.74,10.68,1.97,19960628,22.09,3.02,37.49,66.38,50.52,28.71,25456
70,20241216,000404.SZ,长虹华意,家用电器,江西,10.69,6.93,6.96,142.72,105.18,14.77,15.85,2.28,0.54,5.74,1.34,19960619,15.9,2.28,-9.69,36.68,12.8,5.38,32770
71,20241216,000407.SZ,胜利股份,供气供热,山东,22.32,8.76,8.8,66.46,21.39,19.56,9.54,1.08,0.12,3.35,1.11,19960703,8.48,0.96,-1.69,7.62,15.74,3.94,45256
72,20241216,000408.SZ,藏格矿业,农药化肥,青海,17.21,15.8,15.8,138.72,17.85,26.5,22.02,1.39,1.19,8.36,3.24,19960628,89.64,5.67,-44.53,-37.08,45.18,80.06,34146
73,20241216,000409.SZ,云鼎科技,软件服务,山东,62.35,4.23,6.78,24.56,19.85,2.01,12.24,1.8,0.12,2.21,4.49,19960627,-3.64,-0.54,18.07,115.79,32.91,11.66,50643
74,20241216,000410.SZ,沈阳机床,机床制造,辽宁,0.0,16.81,20.65,32.02,18.13,6.61,55.3,2.68,-0.06,0.45,16.98,19960718,-67.99,-3.29,-8.2,-71.76,8.05,-12.19,66929
75,20241216,000411.SZ,英特集团,医药商业,浙江,12.85,3.21,5.22,163.57,144.07,9.02,19.92,3.81,0.69,8.39,1.39,19960716,18.41,3.53,3.59,-2.9,6.67,1.69,26417
